data,open,high,loe,close,volume,per_100
2020/12/1,4725.00,4740.00,4705.00,4735.00,174.50,0.11
2020/11/30,4760.00,4770.00,4705.00,4730.00,860.00,-2.07
2020/11/27,4825.00,4850.00,4810.00,4830.00,312.40,-1.23
2020/11/26,4890.00,4910.00,4875.00,4890.00,177.50,-1.41
2020/11/25,4975.00,4985.00,4955.00,4960.00,156.90,0.30
2020/11/24,4940.00,4955.00,4930.00,4945.00,184.60,1.33
2020/11/20,4920.00,4945.00,4880.00,4880.00,228.50,-2.40
2020/11/19,4965.00,5000.00,4935.00,5000.00,265.20,-1.19
2020/11/18,5090.00,5090.00,5030.00,5060.00,138.90,-1.56
2020/11/17,5150.00,5170.00,5120.00,5140.00,218.60,0.59
2020/11/16,5100.00,5150.00,5100.00,5110.00,100.90,1.59
2020/11/13,5030.00,5060.00,5010.00,5030.00,144.50,-1.37
2020/11/12,5130.00,5130.00,5070.00,5100.00,177.40,-2.86
2020/11/11,5240.00,5260.00,5210.00,5250.00,232.60,2.34
2020/11/10,5110.00,5140.00,5040.00,5130.00,296.30,4.59
2020/11/9,4980.00,4985.00,4895.00,4905.00,187.40,-0.81
2020/11/6,4930.00,4950.00,4925.00,4945.00,148.20,1.02
2020/11/5,4915.00,4925.00,4890.00,4895.00,217.30,-0.51
2020/11/4,4950.00,4960.00,4920.00,4920.00,230.00,0.20
2020/11/2,4875.00,4930.00,4835.00,4910.00,169.70,2.19
2020/10/30,4835.00,4880.00,4795.00,4805.00,189.40,-1.54
2020/10/29,4870.00,4905.00,4865.00,4880.00,159.60,-0.41
2020/10/28,4880.00,4910.00,4845.00,4900.00,163.80,-1.31
2020/10/27,4950.00,4985.00,4925.00,4965.00,164.10,-0.70
2020/10/26,5000.00,5010.00,4975.00,5000.00,117.80,-0.40
2020/10/23,5050.00,5070.00,5020.00,5020.00,113.20,-0.79
2020/10/22,5040.00,5090.00,5040.00,5060.00,172.00,-1.36
2020/10/21,5140.00,5140.00,5080.00,5130.00,144.40,0.79
2020/10/20,5100.00,5120.00,5080.00,5090.00,121.80,-1.55
2020/10/19,5220.00,5220.00,5170.00,5170.00,162.10,0.78
2020/10/16,5150.00,5170.00,5130.00,5130.00,116.40,-1.16
2020/10/15,5170.00,5200.00,5170.00,5190.00,174.30,0.00
2020/10/14,5180.00,5190.00,5140.00,5190.00,117.60,0.39
2020/10/13,5160.00,5190.00,5150.00,5170.00,144.30,0.00
2020/10/12,5130.00,5170.00,5110.00,5170.00,170.00,2.38
2020/10/9,5040.00,5070.00,5040.00,5050.00,151.70,0.20
2020/10/8,5050.00,5080.00,5040.00,5040.00,251.50,-0.59
2020/10/7,5040.00,5090.00,5030.00,5070.00,257.50,-0.39
2020/10/6,5100.00,5130.00,5080.00,5090.00,138.30,0.79
2020/10/5,5060.00,5070.00,5030.00,5050.00,181.30,2.23
2020/10/2,5020.00,5020.00,4935.00,4940.00,287.90,-1.59
2020/9/30,5090.00,5110.00,5010.00,5020.00,223.20,-1.18
2020/9/29,5060.00,5100.00,5050.00,5080.00,156.40,0.00
2020/9/28,5060.00,5080.00,5030.00,5080.00,175.40,3.15
2020/9/25,4930.00,4940.00,4895.00,4925.00,271.00,-1.20
2020/9/24,5000.00,5010.00,4985.00,4985.00,131.20,-1.68
2020/9/23,5060.00,5090.00,5050.00,5070.00,162.20,0.00
2020/9/18,5110.00,5110.00,5050.00,5070.00,243.00,-0.98
2020/9/17,5080.00,5140.00,5080.00,5120.00,105.70,0.00
2020/9/16,5120.00,5140.00,5100.00,5120.00,134.30,0.00
2020/9/15,5160.00,5160.00,5110.00,5120.00,149.50,-2.85
2020/9/14,5280.00,5290.00,5260.00,5270.00,103.40,0.19
2020/9/11,5210.00,5290.00,5200.00,5260.00,135.20,1.74
2020/9/10,5140.00,5190.00,5130.00,5170.00,178.40,1.37
2020/9/9,5060.00,5130.00,5050.00,5100.00,169.40,-0.20
2020/9/8,5100.00,5120.00,5070.00,5110.00,146.10,-0.20
2020/9/7,5160.00,5170.00,5120.00,5120.00,80.60,-0.58
2020/9/4,5160.00,5180.00,5150.00,5150.00,100.10,-0.39
2020/9/3,5180.00,5200.00,5160.00,5170.00,107.70,-0.19
2020/9/2,5180.00,5190.00,5160.00,5180.00,145.80,-0.38
2020/9/1,5200.00,5220.00,5190.00,5200.00,118.70,-0.57
2020/8/31,5220.00,5280.00,5210.00,5230.00,309.40,1.95
2020/8/28,5240.00,5250.00,5120.00,5130.00,259.40,-1.91
2020/8/27,5200.00,5250.00,5200.00,5230.00,229.40,-0.38
2020/8/26,5250.00,5280.00,5240.00,5250.00,89.50,-0.19
2020/8/25,5270.00,5290.00,5230.00,5260.00,192.60,0.57
2020/8/24,5190.00,5230.00,5180.00,5230.00,82.10,0.19
2020/8/21,5260.00,5260.00,5180.00,5220.00,167.50,-1.32
2020/8/20,5330.00,5330.00,5280.00,5290.00,161.00,-1.12
2020/8/19,5340.00,5360.00,5330.00,5350.00,95.60,0.75
2020/8/18,5320.00,5350.00,5300.00,5310.00,158.80,